# Taiwan ISP Topology Mapping - Comprehensive Target List
# Research: HiNet (AS3462), SEEDnet (AS4780), Taiwan Fixed Network (AS9924)

## GOVERNMENT - CENTRAL MINISTRIES (12 targets)
president.gov.tw                    # Presidential Office
nat.gov.tw                        # National Archives Administration
moc.gov.tw                        # Ministry of Culture
coa.gov.tw                        # Council of Agriculture
cla.gov.tw                        # Council of Labor Affairs
dgpa.gov.tw                       # Directorate General of Personnel Administration
dgbas.gov.tw                      # Directorate General of Budget, Accounting and Statistics
mac.gov.tw                        # Mainland Affairs Council
ocac.gov.tw                       # Overseas Community Affairs Council
ey.gov.tw                         # Executive Yuan (duplicate check)

# TOTAL: ~165 targets
# Recommended: Run from all 3 vantage points = ~495 traceroutes per round
# With multiple times/protocols: 2,000-4,000 total measurements

## USAGE NOTES:
# 1. Remove duplicates before running
# 2. Verify domains are still active (some may have changed)
# 3. Add both IPv4 and IPv6 where available
# 4. Consider adding specific IP addresses for multi-homed services
# 5. Some critical infrastructure may not respond to traceroute
# 6. Respect rate limits and measurement ethics
